Term,pmi,freq_pos,freq_neg,VAD original,VAD extended,valence,arousal,dominance,frequency
languish,2.422,11,18,1,1,0.235,0.408,0.382,29
restlessness,2.42,28,45,1,1,0.083,0.794,0.397,73
indulgence,2.417,21,34,1,1,0.479,0.49,0.517,55
amuse,2.414,41,66,1,1,0.812,0.684,0.664,107
heroism,2.404,17,28,1,1,0.844,0.802,0.898,45
lighthouse,2.403,79,128,1,1,0.622,0.24,0.51,207
originality,2.403,30,49,1,1,0.898,0.5,0.824,79
recreation,2.402,25,41,1,1,0.909,0.632,0.66,66
furnace,2.402,38,62,1,1,0.429,0.529,0.5,100
romanticism,2.389,10,17,1,1,0.854,0.521,0.593,27
imaginative,2.389,21,35,1,1,0.78,0.541,0.593,56
amid,2.387,60,99,1,1,0.51,0.34,0.256,159
amidst,2.385,164,270,1,1,0.48,0.33,0.316,434
faculties,2.385,13,22,1,1,0.643,0.431,0.76,35
hillside,2.385,13,22,1,1,0.625,0.292,0.458,35
ecstasy,2.384,44,73,1,1,0.796,0.922,0.655,117
mastery,2.381,36,60,1,1,0.755,0.648,0.873,96
sublime,2.381,56,93,1,1,0.784,0.333,0.585,149
solemn,2.381,56,93,1,1,0.708,0.37,0.709,149
sea,2.38,1833,3025,1,1,0.833,0.353,0.589,4858
lodge,2.38,39,65,1,1,0.656,0.356,0.474,104
motionless,2.377,28,47,1,1,0.323,0.21,0.246,75
solace,2.374,873,1451,1,1,0.776,0.294,0.453,2324
inactivity,2.37,14,24,1,1,0.135,0.143,0.227,38
reflection,2.37,825,1376,1,1,0.71,0.5,0.528,2201
innermost,2.366,42,71,1,1,0.583,0.5,0.51,113
awaken,2.365,107,180,1,1,0.729,0.412,0.611,287
measured,2.363,83,140,1,1,0.542,0.265,0.578,223
penetrate,2.363,27,46,1,1,0.287,0.877,0.732,73
dormant,2.362,24,41,1,1,0.385,0.245,0.245,65
aimless,2.361,21,36,1,1,0.15,0.267,0.183,57
hideaway,2.36,18,31,1,1,0.448,0.481,0.36,49
elixir,2.351,9,16,1,1,0.708,0.587,0.604,25
indispensable,2.351,19,33,1,1,0.71,0.449,0.802,52
elegance,2.351,19,33,1,1,0.918,0.396,0.824,52
opium,2.351,9,16,1,1,0.276,0.49,0.333,25
hike,2.347,207,354,1,1,0.615,0.442,0.538,561
lush,2.346,47,81,1,1,0.74,0.783,0.833,128
prolonged,2.345,68,117,1,1,0.406,0.453,0.56,185
fasting,2.341,133,229,1,1,0.388,0.37,0.394,362
marvellous,2.336,28,49,1,1,0.878,0.809,0.849,77
restful,2.336,39,68,1,1,0.781,0.116,0.413,107
submerged,2.335,21,37,1,1,0.337,0.528,0.357,58
alluring,2.335,21,37,1,1,0.837,0.745,0.843,58
oneself,2.334,374,647,1,1,0.66,0.337,0.483,1021
overcast,2.331,14,25,1,1,0.417,0.25,0.475,39
azure,2.331,14,25,1,1,0.62,0.256,0.339,39
trout,2.328,22,39,1,1,0.516,0.387,0.298,61
indulge,2.328,141,246,1,1,0.833,0.716,0.669,387
brood,2.327,26,46,1,1,0.633,0.519,0.434,72
withered,2.322,23,41,1,1,0.188,0.292,0.16,64
outdoors,2.322,131,230,1,1,0.781,0.444,0.453,361
rugged,2.322,23,41,1,1,0.561,0.569,0.793,64
perverse,2.322,35,62,1,1,0.146,0.808,0.464,97
reflective,2.314,79,140,1,1,0.656,0.292,0.735,219
canvas,2.312,72,128,1,1,0.719,0.09,0.364,200
spiritual,2.312,936,1655,1,1,0.938,0.327,0.564,2591
soaking,2.311,68,121,1,1,0.438,0.324,0.375,189
initiation,2.311,12,22,1,1,0.698,0.529,0.527,34
strenuous,2.311,12,22,1,1,0.104,0.66,0.481,34
